Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-n03s18,173.89,-2.72,20.685,19.947,19.969,20.991,21.128,23.494,21.434,23.516,21.041,23.314,21.591,22.726
SPLUS-n03s19,175.25,-2.72,20.662,19.929,19.944,20.947,21.074,23.436,21.372,23.5,21.011,23.312,21.581,22.765
SPLUS-n03s20,176.6,-2.72,20.638,19.909,19.928,20.923,21.033,23.402,21.315,23.477,21.014,23.307,21.59,22.737
SPLUS-n03s21,177.96,-2.72,20.775,19.99,20.005,21.001,21.13,23.465,21.414,23.487,21.009,23.287,21.559,22.714
SPLUS-n03s22,179.32,-2.72,20.705,19.949,19.955,20.988,21.115,23.47,21.405,23.497,21.02,23.303,21.584,22.709
SPLUS-n03s23,180.68,-2.72,20.826,20.035,20.043,21.029,21.153,23.499,21.435,23.525,21.042,23.32,21.601,22.741
SPLUS-n03s24,182.04,-2.72,20.823,19.992,20.018,21.042,21.161,23.509,21.447,23.528,21.04,23.32,21.599,22.74
SPLUS-n03s25,183.4,-2.72,20.799,20.01,20.011,21.027,21.142,23.497,21.421,23.505,21.026,23.298,21.569,22.73
SPLUS-n03s26,184.75,-2.72,20.749,19.982,19.977,20.975,21.099,23.444,21.39,23.478,20.996,23.274,21.557,22.7
SPLUS-n03s27,186.11,-2.72,20.773,19.99,19.973,20.989,21.112,23.468,21.405,23.501,21.028,23.305,21.583,22.722
SPLUS-n03s28,187.47,-2.72,20.756,19.973,19.997,20.985,21.111,23.461,21.397,23.484,20.998,23.273,21.557,22.685
SPLUS-n03s43,207.85,-2.72,20.84,20.021,20.034,21.027,21.156,23.522,21.472,23.538,21.054,23.337,21.61,22.774
SPLUS-n03s44,209.21,-2.72,20.723,19.915,19.895,20.935,21.065,23.449,21.418,23.499,21.021,23.315,21.59,22.761
SPLUS-n04n01,150.79,4.07,20.649,19.889,19.806,20.934,21.006,23.328,21.238,23.416,20.897,23.302,21.561,22.652
SPLUS-n04s01,150.79,-4.07,19.786,19.014,19.023,19.99,20.094,22.493,20.437,22.595,20.137,22.453,20.714,21.91
SPLUS-n04s02,152.15,-4.07,19.785,19.029,19.019,19.995,20.103,22.497,20.446,22.609,20.149,22.46,20.727,21.9
SPLUS-n04s41,205.13,-4.07,20.72,19.922,19.907,20.903,21.039,23.426,21.393,23.505,21.027,23.335,21.608,22.773
SPLUS-n04s42,206.49,-4.07,20.718,19.911,19.92,20.94,21.068,23.458,21.424,23.521,21.04,23.321,21.618,22.741
SPLUS-n04s43,207.85,-4.07,20.706,19.919,19.903,20.91,21.05,23.434,21.391,23.491,21.017,23.315,21.599,22.746
SPLUS-n04s44,209.21,-4.07,20.735,19.94,19.942,20.947,21.086,23.464,21.418,23.502,21.03,23.323,21.599,22.756
SPLUS-n05n50,216.82,5.43,20.776,19.96,19.955,20.976,21.103,23.48,21.43,23.53,21.057,23.351,21.624,22.788
SPLUS-n05n53,220.91,5.43,20.739,19.935,19.913,20.916,21.033,23.439,21.399,23.504,21.03,23.325,21.605,22.76
SPLUS-n05n54,222.27,5.43,20.73,19.928,19.913,20.936,21.062,23.464,21.417,23.513,21.038,23.324,21.605,22.741
