Field,RA,DEC,ZP_u,ZP_J0378,ZP_J0395,ZP_J0410,ZP_J0430,ZP_g,ZP_J0515,ZP_r,ZP_J0660,ZP_i,ZP_J0861,ZP_z
SPLUS-s23s36,338.28,-29.58,20.87,20.055,20.046,21.029,21.14,23.5,21.442,23.535,21.057,23.342,21.607,22.771
SPLUS-s23s37,339.83,-29.58,19.947,19.163,19.095,20.059,20.131,22.511,20.458,22.625,20.171,22.474,20.673,21.896
SPLUS-s23s38,341.38,-29.58,20.668,19.87,19.838,20.84,20.95,23.345,21.31,23.45,20.975,23.276,21.572,22.684
SPLUS-s23s39,342.93,-29.58,20.844,20.037,20.029,21.025,21.147,23.506,21.446,23.541,21.062,23.364,21.622,22.819
SPLUS-s23s41,346.03,-29.58,20.684,19.872,19.882,20.848,20.968,23.356,21.319,23.447,20.976,23.29,21.566,22.737
SPLUS-s23s42,347.59,-29.58,20.658,19.848,19.843,20.831,20.939,23.313,21.284,23.433,20.966,23.293,21.562,22.73
SPLUS-s23s43,349.14,-29.58,20.243,19.455,19.461,20.48,20.613,22.906,20.811,22.813,20.31,22.59,20.844,22.016
SPLUS-s23s44,350.69,-29.58,20.887,20.081,20.065,21.043,21.149,23.516,21.458,23.548,21.075,23.355,21.618,22.778
SPLUS-s23s45,352.24,-29.58,20.795,19.978,19.948,20.938,21.044,23.43,21.375,23.492,21.016,23.311,21.578,22.737
SPLUS-s23s46,353.79,-29.58,20.776,19.963,19.94,20.931,21.03,23.4,21.353,23.483,21.012,23.303,21.578,22.733
SPLUS-s23s47,355.35,-29.58,20.888,20.078,19.932,20.915,21.006,23.386,21.332,23.478,21.013,23.328,21.584,22.793
SPLUS-s23s48,356.9,-29.58,20.772,19.971,19.958,20.944,21.06,23.434,21.385,23.49,21.014,23.306,21.579,22.734
SPLUS-s23s49,358.45,-29.58,19.81,18.985,18.985,19.965,20.077,22.484,20.441,22.593,20.136,22.456,20.73,21.902
SPLUS-s24s01,0.02,-30.9,20.24,19.437,19.458,20.462,20.59,22.89,20.799,22.818,20.313,22.604,20.845,22.068
SPLUS-s24s02,1.57,-30.9,20.714,19.884,19.901,20.87,20.969,23.338,21.289,23.449,20.987,23.287,21.575,22.715
SPLUS-s24s03,3.15,-30.9,20.833,19.989,19.752,20.903,21.075,23.44,21.274,23.507,21.022,23.345,21.346,22.798
SPLUS-s24s04,4.72,-30.9,20.843,20.015,20.026,21.02,21.116,23.49,21.423,23.531,21.058,23.355,21.604,22.787
SPLUS-s24s05,6.29,-30.9,20.704,19.952,19.933,20.915,21.035,23.408,21.371,23.492,21.022,23.325,21.6,22.787
SPLUS-s24s07,9.43,-30.9,20.875,20.108,20.123,21.122,21.25,23.583,21.509,23.584,21.098,23.399,21.645,22.832
SPLUS-s24s08,11.0,-30.9,20.219,19.447,19.447,20.478,20.586,22.81,20.747,22.766,20.289,22.555,20.738,21.989
SPLUS-s24s09,12.58,-30.9,20.774,19.985,19.996,21.018,21.152,23.529,21.468,23.551,21.069,23.374,21.619,22.836
SPLUS-s24s10,14.15,-30.9,20.813,20.022,20.019,21.023,21.148,23.517,21.457,23.544,21.065,23.361,21.62,22.832
SPLUS-s24s11,15.72,-30.9,20.787,20.019,20.034,21.002,21.132,23.515,21.448,23.536,21.06,23.357,21.615,22.827
SPLUS-s24s12,17.29,-30.9,20.852,20.047,19.992,21.034,21.16,23.506,21.443,23.541,21.059,23.359,21.609,22.816
SPLUS-s24s13,18.87,-30.9,20.906,20.072,20.05,21.03,21.142,23.492,21.434,23.539,21.065,23.359,21.621,22.805
SPLUS-s24s14,20.44,-30.9,20.864,20.075,20.064,21.061,21.194,23.528,21.479,23.532,21.048,23.33,21.602,22.756
SPLUS-s24s15,22.01,-30.9,20.784,20.023,19.954,20.994,21.119,23.465,21.402,23.524,21.053,23.353,21.617,22.794
SPLUS-s24s16,23.58,-30.9,20.247,19.442,19.432,20.463,20.593,22.882,20.798,22.808,20.308,22.575,20.828,22.0
SPLUS-s24s17,25.15,-30.9,20.85,20.073,20.064,21.028,21.115,23.452,21.398,23.524,21.064,23.363,21.625,22.812
SPLUS-s24s18,26.73,-30.9,20.827,20.04,20.036,21.008,21.121,23.484,21.434,23.52,21.051,23.333,21.603,22.762
SPLUS-s24s19,28.3,-30.9,20.233,19.409,19.306,20.288,20.356,22.578,20.477,22.54,20.199,22.18,20.65,21.428
SPLUS-s24s20,29.87,-30.9,20.852,20.042,20.071,21.044,21.17,23.526,21.469,23.555,21.077,23.361,21.616,22.794
SPLUS-s24s21,31.44,-30.9,20.237,19.467,19.486,20.479,20.607,22.906,20.818,22.836,20.336,22.598,20.842,22.009
SPLUS-s24s22,33.01,-30.9,20.756,20.005,20.082,21.055,21.144,23.503,21.448,23.542,21.06,23.366,21.626,22.827
SPLUS-s24s23,34.58,-30.9,20.885,20.082,20.062,21.031,21.107,23.481,21.42,23.542,21.06,23.368,21.617,22.819
SPLUS-s24s24,36.16,-30.9,20.212,19.432,19.449,20.453,20.576,22.872,20.788,22.796,20.298,22.58,20.829,22.016
SPLUS-s24s25,37.73,-30.9,20.907,20.085,20.02,21.051,21.17,23.513,21.447,23.558,21.073,23.361,21.616,22.804
SPLUS-s24s26,39.3,-30.9,20.23,19.445,19.449,20.474,20.637,22.902,20.812,22.808,20.306,22.592,20.836,22.047
SPLUS-s24s27,40.88,-30.9,20.257,19.478,19.481,20.498,20.647,22.92,20.831,22.817,20.314,22.597,20.841,22.036
SPLUS-s24s28,42.45,-30.9,20.233,19.464,19.475,20.488,20.631,22.913,20.823,22.813,20.308,22.58,20.844,21.986
SPLUS-s24s29,44.02,-30.9,20.233,19.452,19.457,20.443,20.566,22.871,20.784,22.796,20.3,22.583,20.834,22.015
SPLUS-s24s31,47.16,-30.9,20.263,19.473,19.48,20.49,20.624,22.911,20.826,22.828,20.336,22.603,20.85,22.023
SPLUS-s24s32,48.73,-30.9,21.011,20.203,20.221,21.22,21.354,23.669,21.603,23.622,21.138,23.408,21.66,22.86
SPLUS-s24s33,50.3,-30.9,20.818,20.03,20.025,21.007,21.11,23.453,21.408,23.517,21.043,23.318,21.588,22.743
SPLUS-s24s34,51.88,-30.9,21.017,20.23,20.23,21.243,21.373,23.68,21.591,23.607,21.12,23.373,21.635,22.792
SPLUS-s24s35,53.45,-30.9,20.842,20.04,20.027,20.993,21.084,23.437,21.378,23.503,21.025,23.341,21.602,22.773
SPLUS-s24s36,55.02,-30.9,20.243,19.454,19.46,20.476,20.607,22.903,20.812,22.817,20.313,22.597,20.842,22.041
SPLUS-s24s37,56.6,-30.9,20.232,19.463,19.475,20.445,20.585,22.89,20.783,22.797,20.309,22.58,20.841,22.027
SPLUS-s24s38,58.17,-30.9,20.178,19.399,19.38,20.378,20.477,22.762,20.7,22.786,20.311,22.589,20.841,22.035
SPLUS-s24s39,59.74,-30.9,20.253,19.44,19.479,20.497,20.635,22.919,20.833,22.829,20.328,22.615,20.854,22.064
SPLUS-s24s40,61.31,-30.9,20.979,20.18,20.169,21.157,21.28,23.596,21.528,23.584,21.09,23.362,21.627,22.78
SPLUS-s24s41,62.88,-30.9,21.0,20.191,20.172,21.155,21.274,23.577,21.516,23.565,21.079,23.35,21.61,22.778
SPLUS-s24s42,64.45,-30.9,20.258,19.467,19.469,20.49,20.629,22.878,20.783,22.804,20.305,22.584,20.836,22.02
SPLUS-s24s43,66.03,-30.9,20.863,20.048,20.109,21.081,21.204,23.527,21.472,23.549,21.06,23.344,21.598,22.784
SPLUS-s24s44,67.6,-30.9,20.797,20.007,19.995,21.001,21.114,23.452,21.382,23.498,21.03,23.292,21.566,22.705
SPLUS-s24s45,69.17,-30.9,20.207,19.417,19.414,20.454,20.582,22.874,20.799,22.804,20.299,22.582,20.836,22.026
SPLUS-s24s46,70.74,-30.9,20.994,20.211,20.211,21.221,21.365,23.664,21.589,23.592,21.093,23.363,21.626,22.789
SPLUS-s24s47,72.31,-30.9,20.212,19.437,19.456,20.465,20.603,22.905,20.818,22.817,20.31,22.597,20.818,22.048
SPLUS-s24s48,73.89,-30.9,20.911,20.109,20.108,21.087,21.215,23.529,21.479,23.53,21.049,23.299,21.583,22.671
SPLUS-s24s49,315.98,-30.9,20.938,20.167,20.156,21.184,21.331,23.648,21.579,23.596,21.103,23.388,21.613,22.834
SPLUS-s24s50,317.55,-30.9,20.719,19.96,19.986,20.983,21.128,23.487,21.418,23.52,21.037,23.325,21.59,22.764
SPLUS-s24s51,319.13,-30.9,20.987,20.203,20.176,21.203,21.348,23.651,21.579,23.602,21.111,23.389,21.639,22.828
SPLUS-s24s52,320.7,-30.9,20.994,20.186,20.171,21.185,21.326,23.642,21.565,23.591,21.103,23.383,21.625,22.824
SPLUS-s24s53,322.27,-30.9,20.769,19.992,20.006,21.015,21.159,23.522,21.459,23.537,21.051,23.332,21.6,22.771
SPLUS-s24s54,323.84,-30.9,20.736,19.975,20.004,21.016,21.171,23.52,21.46,23.537,21.052,23.333,21.613,22.776
SPLUS-s24s55,325.42,-30.9,20.845,20.042,20.04,21.03,21.138,23.508,21.455,23.545,21.067,23.367,21.621,22.81
SPLUS-s24s56,326.99,-30.9,20.856,20.039,20.014,21.027,21.141,23.509,21.456,23.545,21.061,23.351,21.628,22.777
SPLUS-s24s57,328.56,-30.9,20.863,20.02,20.008,21.016,21.119,23.494,21.432,23.543,21.06,23.349,21.601,22.767
SPLUS-s24s58,330.13,-30.9,20.254,19.447,19.467,20.488,20.618,22.908,20.813,22.812,20.307,22.585,20.835,22.012
SPLUS-s24s59,331.7,-30.9,20.862,20.054,20.05,21.021,21.131,23.496,21.442,23.543,21.058,23.354,21.612,22.807
SPLUS-s24s61,334.85,-30.9,20.814,20.048,20.037,21.015,21.127,23.494,21.441,23.536,21.061,23.35,21.621,22.778
SPLUS-s24s62,336.42,-30.9,20.746,19.962,19.938,20.916,20.996,23.38,21.306,23.481,21.022,23.335,21.605,22.759
SPLUS-s24s63,337.99,-30.9,20.834,20.039,20.014,20.984,21.075,23.433,21.371,23.513,21.034,23.348,21.597,22.779
SPLUS-s24s64,339.56,-30.9,20.839,20.043,20.024,21.012,21.117,23.478,21.423,23.516,21.039,23.325,21.592,22.749
SPLUS-s24s65,341.13,-30.9,20.866,20.08,20.063,21.028,21.129,23.473,21.425,23.556,21.065,23.366,21.615,22.809
SPLUS-s24s66,342.71,-30.9,20.85,20.04,20.041,21.018,21.136,23.488,21.446,23.54,21.064,23.343,21.611,22.788
SPLUS-s24s67,344.28,-30.9,20.86,20.06,20.052,21.033,21.136,23.508,21.456,23.555,21.084,23.36,21.619,22.805
SPLUS-s24s68,345.85,-30.9,20.824,20.011,20.004,20.979,21.064,23.423,21.361,23.519,21.048,23.355,21.612,22.796
SPLUS-s24s69,347.43,-30.9,20.858,20.046,20.034,21.014,21.127,23.5,21.438,23.542,21.072,23.361,21.626,22.792
SPLUS-s24s70,349.0,-30.9,20.867,20.066,20.057,21.034,21.161,23.509,21.457,23.55,21.079,23.375,21.63,22.822
SPLUS-s24s71,350.57,-30.9,20.799,19.989,19.962,20.954,21.069,23.449,21.393,23.514,21.03,23.339,21.602,22.779
SPLUS-s24s72,352.14,-30.9,20.844,20.049,20.047,21.022,21.13,23.498,21.446,23.539,21.054,23.357,21.619,22.807
SPLUS-s24s73,353.71,-30.9,20.867,20.073,20.047,21.035,21.136,23.497,21.442,23.541,21.064,23.356,21.618,22.802
SPLUS-s24s74,355.28,-30.9,20.25,19.44,19.433,20.477,20.605,22.899,20.804,22.809,20.308,22.591,20.843,22.034
SPLUS-s24s75,356.85,-30.9,20.241,19.44,19.433,20.451,20.575,22.877,20.783,22.803,20.307,22.582,20.831,22.013
SPLUS-s24s76,358.43,-30.9,20.234,19.454,19.463,20.471,20.608,22.895,20.813,22.806,20.301,22.582,20.837,22.012
SPLUS-s25s07,9.56,-32.23,20.782,20.01,20.017,21.022,21.143,23.527,21.462,23.549,21.069,23.384,21.626,22.864
SPLUS-s25s08,11.15,-32.23,20.779,20.007,20.033,21.026,21.14,23.52,21.464,23.545,21.063,23.364,21.619,22.83
SPLUS-s25s09,12.74,-32.23,20.816,20.027,20.041,21.019,21.143,23.529,21.463,23.549,21.078,23.36,21.627,22.791
SPLUS-s25s10,14.34,-32.23,20.89,20.081,20.051,21.061,21.181,23.526,21.464,23.563,21.087,23.375,21.637,22.797
SPLUS-s25s12,17.52,-32.23,20.867,20.054,20.059,21.049,21.165,23.532,21.479,23.551,21.069,23.366,21.619,22.826
SPLUS-s25s13,19.12,-32.23,20.834,20.06,20.077,21.059,21.204,23.543,21.489,23.544,21.062,23.343,21.615,22.789
SPLUS-s25s14,20.71,-32.23,20.897,20.093,20.098,21.095,21.238,23.568,21.518,23.552,21.071,23.354,21.613,22.795
SPLUS-s25s15,22.3,-32.23,20.854,20.063,20.034,21.028,21.139,23.499,21.445,23.543,21.086,23.367,21.63,22.807
SPLUS-s25s16,23.9,-32.23,20.869,20.079,20.051,21.042,21.151,23.507,21.446,23.548,21.067,23.369,21.628,22.821
SPLUS-s25s17,25.49,-32.23,20.802,20.023,20.015,20.983,21.088,23.437,21.386,23.509,21.037,23.338,21.608,22.771
SPLUS-s25s18,27.08,-32.23,20.869,20.068,20.047,21.042,21.15,23.507,21.451,23.551,21.1,23.366,21.628,22.802
SPLUS-s25s19,28.67,-32.23,20.888,20.091,20.082,21.049,21.165,23.516,21.464,23.549,21.069,23.361,21.619,22.802
SPLUS-s25s20,30.27,-32.23,20.872,20.07,20.069,21.033,21.143,23.497,21.45,23.544,21.072,23.361,21.617,22.792
SPLUS-s25s21,31.86,-32.23,20.199,19.43,19.421,20.439,20.58,22.881,20.797,22.805,20.307,22.577,20.834,21.988
SPLUS-s25s22,33.45,-32.23,20.861,20.058,20.008,21.013,21.126,23.499,21.437,23.536,21.059,23.357,21.621,22.786
SPLUS-s25s23,35.05,-32.23,20.273,19.434,19.452,20.467,20.601,22.9,20.809,22.812,20.31,22.59,20.839,22.034
SPLUS-s25s24,36.64,-32.23,20.203,19.431,19.451,20.461,20.597,22.891,20.804,22.802,20.3,22.58,20.83,22.02
SPLUS-s25s26,39.83,-32.23,20.234,19.452,19.448,20.47,20.609,22.897,20.81,22.81,20.308,22.587,20.844,22.005
SPLUS-s25s27,41.42,-32.23,20.239,19.456,19.463,20.499,20.631,22.921,20.816,22.812,20.301,22.59,20.846,22.011
SPLUS-s25s28,43.01,-32.23,20.23,19.452,19.44,20.451,20.58,22.885,20.795,22.815,20.309,22.601,20.84,22.07
SPLUS-s25s29,44.6,-32.23,20.98,20.204,20.213,21.239,21.378,23.672,21.597,23.597,21.095,23.367,21.634,22.778
SPLUS-s25s30,46.2,-32.23,20.882,20.086,20.067,21.051,21.159,23.512,21.455,23.554,21.072,23.37,21.628,22.813
SPLUS-s25s31,47.79,-32.23,20.8,20.028,20.025,20.985,21.085,23.452,21.398,23.523,21.056,23.354,21.61,22.794
SPLUS-s25s32,49.38,-32.23,20.792,20.021,19.99,20.983,21.09,23.456,21.402,23.521,21.05,23.347,21.608,22.793
SPLUS-s25s33,50.98,-32.23,20.754,19.991,19.987,20.996,21.115,23.49,21.433,23.536,21.064,23.354,21.624,22.792
SPLUS-s25s34,52.57,-32.23,20.953,20.151,20.184,21.207,21.34,23.487,21.574,23.545,21.04,23.095,21.576,22.679
SPLUS-s25s35,54.16,-32.23,20.874,20.059,20.024,21.036,21.144,23.514,21.457,23.557,21.076,23.368,21.628,22.795
SPLUS-s25s36,55.75,-32.23,20.201,19.408,19.435,20.447,20.587,22.888,20.802,22.801,20.3,22.576,20.831,21.999
SPLUS-s25s37,57.35,-32.23,20.211,19.421,19.426,20.44,20.58,22.868,20.78,22.793,20.301,22.567,20.822,22.013
SPLUS-s25s38,58.94,-32.23,20.241,19.464,19.471,20.484,20.615,22.915,20.828,22.833,20.332,22.613,20.857,22.056
SPLUS-s25s39,60.53,-32.23,20.222,19.425,19.421,20.458,20.588,22.881,20.795,22.805,20.308,22.573,20.826,21.994
SPLUS-s25s40,62.13,-32.23,20.26,19.48,19.472,20.44,20.553,22.903,20.809,22.822,20.321,22.588,20.803,22.002
SPLUS-s25s43,66.9,-32.23,20.25,19.476,19.474,20.479,20.609,22.903,20.815,22.823,20.324,22.601,20.844,22.027
SPLUS-s25s44,68.5,-32.23,20.902,20.1,20.1,21.103,21.22,23.543,21.481,23.55,21.066,23.341,21.602,22.764
SPLUS-s25s45,70.09,-32.23,20.907,20.115,20.122,21.104,21.234,23.547,21.491,23.565,21.076,23.343,21.619,22.747
SPLUS-s25s46,71.68,-32.23,20.217,19.437,19.442,20.465,20.604,22.901,20.822,22.819,20.318,22.582,20.842,22.001
SPLUS-s25s47,73.28,-32.23,20.239,19.453,19.443,20.475,20.614,22.903,20.813,22.817,21.064,22.596,21.628,22.798
SPLUS-s25s48,74.87,-32.23,20.881,20.084,20.088,21.079,21.192,23.513,21.452,23.527,21.049,23.315,21.595,22.705
SPLUS-s25s49,315.4,-32.23,20.915,20.127,20.142,21.156,21.3,23.633,21.567,23.606,21.128,23.405,21.653,22.864
SPLUS-s25s50,316.99,-32.23,20.952,19.927,20.014,20.681,20.626,23.643,21.562,23.592,21.111,23.374,21.609,22.811
SPLUS-s25s51,318.58,-32.23,20.935,20.142,20.172,21.144,21.287,23.62,21.548,23.591,21.102,23.378,21.644,22.808
SPLUS-s25s52,320.18,-32.23,20.699,19.966,19.99,20.996,21.151,23.516,21.448,23.526,21.054,23.326,21.603,22.777
SPLUS-s26s07,9.69,-33.55,20.752,19.995,19.997,20.997,21.117,23.483,21.421,23.541,21.065,23.361,21.621,22.821
SPLUS-s26s08,11.3,-33.55,20.759,19.971,19.996,21.002,21.136,23.503,21.449,23.549,21.053,23.345,21.607,22.778
SPLUS-s26s09,12.92,-33.55,20.881,20.03,20.084,21.049,21.161,23.526,21.46,23.549,21.055,23.348,21.619,22.772
SPLUS-s26s10,14.53,-33.55,20.773,20.036,20.044,21.019,21.138,23.517,21.448,23.542,21.066,23.37,21.619,22.826
SPLUS-s26s11,16.14,-33.55,20.84,20.054,20.051,21.046,21.175,23.532,21.478,23.549,21.065,23.368,21.621,22.835
SPLUS-s26s12,17.76,-33.55,20.787,20.021,20.005,20.979,21.073,23.448,21.39,23.54,21.066,23.369,21.631,22.829
SPLUS-s26s13,19.37,-33.55,20.859,20.056,20.063,21.071,21.217,23.551,21.491,23.541,21.065,23.345,21.614,22.783
SPLUS-s26s14,20.99,-33.55,20.874,20.077,20.059,21.06,21.186,23.527,21.476,23.536,21.06,23.346,21.61,22.787
SPLUS-s26s15,22.6,-33.55,20.85,20.043,20.069,21.029,21.134,23.494,21.442,23.541,21.052,23.344,21.616,22.783
SPLUS-s26s16,24.22,-33.55,20.827,20.027,20.015,20.981,21.093,23.458,21.407,23.516,21.036,23.329,21.597,22.757
SPLUS-s26s17,25.83,-33.55,20.771,19.99,19.991,20.973,21.082,23.462,21.405,23.525,21.049,23.341,21.616,22.763
SPLUS-s26s18,27.45,-33.55,20.82,20.021,19.997,20.977,21.083,23.447,21.397,23.517,21.039,23.337,21.601,22.775
SPLUS-s26s19,29.06,-33.55,20.808,20.001,19.996,20.965,21.081,23.452,21.412,23.509,21.034,23.329,21.606,22.759
SPLUS-s26s20,30.67,-33.55,20.831,20.036,19.999,20.98,21.066,23.423,21.367,23.506,21.032,23.333,21.601,22.758
SPLUS-s26s21,32.29,-33.55,20.873,20.062,20.043,21.029,21.127,23.481,21.43,23.532,21.05,23.347,21.61,22.794
SPLUS-s26s22,33.9,-33.55,20.895,20.094,20.042,21.034,21.142,23.505,21.442,23.535,21.051,23.359,21.608,22.768
SPLUS-s26s23,35.52,-33.55,20.881,20.064,20.065,21.026,21.133,23.492,21.437,23.536,21.051,23.341,21.609,22.772
SPLUS-s26s24,37.13,-33.55,20.248,19.439,19.443,20.487,20.6,22.904,20.816,22.82,20.314,22.606,20.853,22.05
SPLUS-s26s25,38.75,-33.55,20.878,20.069,20.043,21.035,21.134,23.494,21.443,23.531,21.055,23.349,21.612,22.796
SPLUS-s26s26,40.36,-33.55,20.206,19.424,19.447,20.449,20.672,22.889,20.827,22.807,20.309,22.579,20.831,22.013
SPLUS-s26s27,41.98,-33.55,20.794,20.006,19.994,20.956,21.057,23.432,21.369,23.509,21.036,23.35,21.613,22.804
SPLUS-s26s28,43.59,-33.55,20.787,19.979,19.962,20.952,21.069,23.441,21.398,23.504,21.027,23.329,21.6,22.774
SPLUS-s26s29,45.2,-33.55,20.866,20.044,20.04,21.008,21.112,23.475,21.424,23.532,21.054,23.345,21.612,22.782
SPLUS-s26s30,46.82,-33.55,20.838,20.036,20.01,21.007,21.122,23.494,21.435,23.536,21.048,23.352,21.609,22.8
SPLUS-s26s31,48.43,-33.55,20.83,20.025,20.0,20.992,21.104,23.471,21.421,23.524,21.039,23.344,21.601,22.786
SPLUS-s26s32,50.05,-33.55,20.816,20.027,20.04,21.018,21.123,23.496,21.442,23.544,21.057,23.344,21.612,22.785
SPLUS-s26s33,51.66,-33.55,20.85,20.048,20.049,21.015,21.118,23.49,21.436,23.535,21.046,23.344,21.603,22.766
SPLUS-s26s34,53.28,-33.55,20.976,20.174,20.178,21.157,21.266,23.575,21.511,23.571,21.088,23.357,21.627,22.784
SPLUS-s26s35,54.89,-33.55,20.923,20.123,20.121,21.102,21.221,23.554,21.546,23.556,21.113,23.356,21.653,22.808
SPLUS-s26s36,56.5,-33.55,20.859,20.088,20.062,21.008,21.101,23.467,21.41,23.537,21.06,23.362,21.619,22.809
SPLUS-s26s37,58.12,-33.55,20.193,19.445,19.437,20.456,20.606,22.895,20.809,22.8,20.301,22.574,20.825,21.995
SPLUS-s26s38,59.73,-33.55,20.867,20.084,20.06,21.045,21.148,23.452,21.384,23.504,21.032,23.322,21.593,22.74
SPLUS-s26s39,61.35,-33.55,21.029,20.243,20.233,21.267,21.42,23.71,21.63,23.625,21.122,23.396,21.651,22.856
SPLUS-s26s40,62.96,-33.55,20.891,20.088,20.08,21.107,21.22,23.553,21.495,23.554,21.071,23.335,21.6,22.739
SPLUS-s26s41,64.58,-33.55,20.939,20.152,20.143,21.138,21.249,23.58,21.507,23.578,21.084,23.367,21.63,22.79
SPLUS-s26s42,66.19,-33.55,20.834,20.047,20.073,21.032,21.135,23.46,21.394,23.505,21.023,23.321,21.594,22.738
SPLUS-s26s43,67.8,-33.55,20.877,20.06,20.084,21.047,21.157,23.469,21.423,23.501,21.023,23.291,21.582,22.69
SPLUS-s26s44,69.42,-33.55,20.92,20.13,20.146,21.135,21.259,23.566,21.509,23.582,21.092,23.366,21.632,22.774
SPLUS-s26s45,71.03,-33.55,20.798,20.004,20.001,20.987,21.103,23.493,21.421,23.547,21.059,23.364,21.618,22.814
SPLUS-s26s47,74.26,-33.55,20.829,20.024,20.036,21.021,21.129,23.458,21.393,23.505,21.024,23.297,21.588,22.682
SPLUS-s26s48,316.41,-33.55,20.979,20.183,20.154,21.189,21.32,23.65,21.573,23.603,21.117,23.393,21.646,22.832
SPLUS-s26s49,318.03,-33.55,20.735,20.003,20.001,20.976,21.101,23.475,21.416,23.545,21.06,23.357,21.615,22.807
SPLUS-s26s50,319.64,-33.55,20.829,20.026,20.019,21.019,21.158,23.518,21.444,23.546,21.064,23.367,21.609,22.846
SPLUS-s26s51,321.25,-33.55,20.851,20.063,20.06,21.022,21.139,23.493,21.426,23.534,21.051,23.337,21.597,22.765
SPLUS-s27s07,9.86,-34.87,20.691,19.946,19.675,20.764,20.75,23.119,21.006,23.186,20.754,23.056,21.454,22.547
SPLUS-s27s08,11.51,-34.87,20.832,20.048,20.024,21.063,21.185,23.53,21.471,23.554,21.077,23.373,21.626,22.827
SPLUS-s27s09,13.15,-34.87,20.796,20.018,20.04,21.037,21.151,23.518,21.462,23.534,21.051,23.356,21.614,22.814
SPLUS-s27s10,14.8,-34.87,20.869,20.056,20.075,21.059,21.18,23.53,21.488,23.545,21.058,23.357,21.618,22.829
SPLUS-s27s11,16.44,-34.87,20.894,20.089,20.076,21.065,21.167,23.521,21.465,23.55,21.068,23.346,21.61,22.77
SPLUS-s27s12,18.08,-34.87,20.871,20.059,20.049,21.047,21.167,23.535,21.476,23.561,21.074,23.374,21.625,22.833
SPLUS-s27s13,19.73,-34.87,20.897,20.097,20.09,21.09,21.224,23.555,21.494,23.548,21.072,23.345,21.45,22.791
SPLUS-s27s14,21.37,-34.87,20.928,20.131,20.123,21.126,21.26,23.574,21.514,23.561,21.077,23.354,21.615,22.791
SPLUS-s27s15,23.01,-34.87,19.911,19.132,19.09,20.047,20.126,22.496,20.451,22.621,20.167,22.48,20.735,21.918
SPLUS-s27s16,24.66,-34.87,19.919,19.138,19.1,20.056,20.125,22.504,20.453,22.619,20.16,22.471,20.732,21.917
SPLUS-s27s17,26.3,-34.87,19.873,19.106,19.089,20.033,20.102,22.49,20.437,22.607,20.156,22.465,20.724,21.905
SPLUS-s27s18,27.95,-34.87,19.877,19.114,19.082,20.025,20.107,22.48,20.436,22.604,20.148,22.464,20.729,21.897
SPLUS-s27s19,29.59,-34.87,19.952,19.174,19.135,20.065,20.132,22.505,20.464,22.629,20.184,22.481,20.743,21.902
SPLUS-s27s20,31.23,-34.87,19.854,19.099,19.058,20.012,20.091,22.473,20.423,22.602,20.146,22.461,20.724,21.894
SPLUS-s27s21,32.88,-34.87,19.937,19.155,19.099,20.062,20.126,22.506,20.455,22.617,20.158,22.464,20.728,21.901
SPLUS-s27s22,34.52,-34.87,19.946,19.168,19.112,20.059,20.125,22.5,20.453,22.619,20.162,22.472,20.732,21.919
SPLUS-s27s23,36.16,-34.87,19.925,19.135,19.094,20.032,20.108,22.494,20.448,22.616,20.162,22.469,20.731,21.902
SPLUS-s27s24,37.81,-34.87,20.838,20.05,20.005,21.007,21.124,23.471,21.415,23.53,21.043,23.333,21.598,22.77
SPLUS-s27s25,39.45,-34.87,19.914,19.131,19.086,20.031,20.108,22.482,20.438,22.609,20.157,22.454,20.726,21.867
SPLUS-s27s26,41.1,-34.87,20.797,19.981,19.978,20.978,21.105,23.415,21.403,23.496,21.019,23.334,21.583,22.784
SPLUS-s27s27,42.74,-34.87,19.785,19.047,19.036,19.994,20.085,22.487,20.448,22.611,20.168,22.467,20.744,21.91
SPLUS-s27s28,44.38,-34.87,19.903,19.113,19.072,20.018,20.097,22.482,20.423,22.602,20.151,22.461,20.727,21.899
SPLUS-s27s29,46.03,-34.87,19.936,19.165,19.114,20.055,20.133,22.503,20.457,22.616,20.158,22.472,20.734,21.907
SPLUS-s27s30,47.67,-34.87,19.908,19.129,19.085,20.037,20.111,22.484,20.43,22.607,20.151,22.46,20.724,21.898
SPLUS-s27s31,49.32,-34.87,19.889,19.118,19.086,20.04,20.125,22.504,20.455,22.616,20.161,22.466,20.732,21.898
SPLUS-s27s32,50.96,-34.87,19.893,19.112,19.053,20.002,20.079,22.455,20.418,22.591,20.136,22.468,20.725,21.922
SPLUS-s27s33,52.6,-34.87,20.952,20.115,20.136,21.111,21.229,23.561,21.494,23.559,21.076,23.36,21.626,22.794
SPLUS-s27s34,54.25,-34.87,20.891,20.167,20.169,21.16,21.277,23.59,21.522,23.586,21.096,23.383,21.633,22.832
SPLUS-s27s35,55.89,-34.87,20.936,20.143,20.161,21.141,21.269,23.591,21.524,23.606,21.117,23.397,21.658,22.832
SPLUS-s27s36,57.53,-34.87,20.868,20.056,20.019,21.017,21.134,23.486,21.428,23.527,21.044,23.342,21.602,22.773
SPLUS-s27s37,59.18,-34.87,20.735,19.921,19.94,20.925,21.02,23.376,21.325,23.466,20.983,23.281,21.567,22.679
SPLUS-s27s38,60.82,-34.87,20.889,20.098,20.053,21.068,21.167,23.481,21.409,23.515,21.038,23.313,21.582,22.713
